title,critic_score,critic_sentiment,audience_score,audience_sentiment
Synchronic,79%,positive,76%,positive
The Outrun,82%,positive,82%,positive
That's My Boy,20%,negative,51%,negative
Dodgeball: A True Underdog Story,72%,positive,76%,positive
Friends With Benefits,69%,positive,65%,positive
Hold the Dark,69%,positive,33%,negative
A Christmas Prince,73%,positive,49%,negative
Mango,,,,
K-19: The Widowmaker,60%,positive,53%,negative
A League of Their Own,82%,positive,84%,positive
Caramelo,,,93%,positive
I Care a Lot,79%,positive,36%,negative
The Good Nurse,74%,positive,76%,positive
Hancock,42%,negative,59%,negative
Rebecca,37%,negative,39%,negative
Tower Heist,67%,positive,48%,negative
Shiva Baby,96%,positive,76%,positive
The A-Team,48%,negative,66%,positive
Bombshell,67%,positive,84%,positive
Subservience,49%,negative,36%,negative
Eagle Eye,27%,negative,62%,positive
Bad Teacher,46%,negative,36%,negative
Kung Fu Panda 2,82%,positive,74%,positive
I Believe in Santa,,,27%,negative
Sing,71%,positive,73%,positive
Y tu mamá también,90%,positive,88%,positive
Teenage Mutant Ninja Turtles,20%,negative,50%,negative
Boyz N the Hood,96%,positive,93%,positive
Luther: The Fallen Sun,67%,positive,85%,positive
The Dead Don't Die,55%,negative,38%,negative
The Wonder,85%,positive,72%,positive
Clear and Present Danger,81%,positive,74%,positive
Purple Hearts,32%,negative,69%,positive
When a Stranger Calls,8%,negative,44%,negative
Hillbilly Elegy,24%,negative,81%,positive
The 355,24%,negative,86%,positive
What Happens Later,51%,negative,28%,negative
A Family Affair,36%,negative,31%,negative
I Came By,70%,positive,49%,negative
Munich: The Edge of War,83%,positive,78%,positive
Shark Tale,35%,negative,46%,negative
Hollow Man,25%,negative,28%,negative
The Ridiculous 6,0%,negative,37%,negative
Liar Liar,83%,positive,75%,positive
The Nun II,51%,negative,72%,positive
Extraction,67%,positive,71%,positive
Father Christmas Is Back,,,15%,negative
Chicken Run,97%,positive,65%,positive
Calibre,100%,positive,79%,positive
Extinction,32%,negative,47%,negative
Kung Fu Panda 3,87%,positive,79%,positive
Death Note,36%,negative,23%,negative
King Richard,90%,positive,98%,positive
The Karate Kid,67%,positive,67%,positive
Apostle,79%,positive,53%,negative
The Call,100%,positive,79%,positive
The Interpreter,57%,negative,54%,negative
Dolemite Is My Name,97%,positive,91%,positive
Deadstream,92%,positive,75%,positive
Spectral,78%,positive,53%,negative
Creep 2,100%,positive,72%,positive
The Old Guard,80%,positive,70%,positive
Piece By Piece,83%,positive,89%,positive
The Unforgivable,38%,negative,75%,positive
